DATE,AvgTemp
10-09-2015,49
10-10-2015,49
10-11-2015,52
10-12-2015,49
10/13/2015,48
10/14/2015,48
10/15/2015,47
10/16/2015,51
10/17/2015,48
10/18/2015,49
10/19/2015,50
10/20/2015,49
10/21/2015,48
10/22/2015,48
10/23/2015,47
10/24/2015,50
10/25/2015,53
10/26/2015,54
10/27/2015,53
10/28/2015,51
10/29/2015,46
10/30/2015,48
10/31/2015,52
11-01-2015,49
11-02-2015,50
11-03-2015,50
11-04-2015,50
11-05-2015,50
11-06-2015,50
11-07-2015,51
11-08-2015,49
11-09-2015,45
11-10-2015,43
11-11-2015,45
11-12-2015,44
11/13/2015,43
11/14/2015,44
11/15/2015,44
11/16/2015,44
11/17/2015,47
11/18/2015,45
11/19/2015,50
11/20/2015,47
11/21/2015,47
11/22/2015,50
11/23/2015,49
11/24/2015,48
11/25/2015,47
11/26/2015,48
11/27/2015,50
11/28/2015,47
11/29/2015,49
11/30/2015,52
12-01-2015,52
12-02-2015,51
12-03-2015,50
12-04-2015,49
12-05-2015,49
12-06-2015,51
12-07-2015,54
12-08-2015,52
12-09-2015,49
12-10-2015,47
12-11-2015,48
12-12-2015,47
12/13/2015,44
12/14/2015,45
12/15/2015,41
12/16/2015,44
12/17/2015,46
12/18/2015,46
12/19/2015,40
12/20/2015,42
12/21/2015,41
12/22/2015,43
12/23/2015,40
12/24/2015,41
12/25/2015,42
12/26/2015,42
12/27/2015,43
12/28/2015,40
12/29/2015,40
12/30/2015,44
12/31/2015,48
01-01-2016,48
01-02-2016,45
01-03-2016,47
01-04-2016,45
01-05-2016,43
01-06-2016,46
01-07-2016,48
01-08-2016,46
01-09-2016,47
01-10-2016,46
01-11-2016,47
01-12-2016,47
1/13/2016,48
1/14/2016,50
1/15/2016,48
1/16/2016,46
1/17/2016,47
1/18/2016,48
1/19/2016,50
1/20/2016,50
1/21/2016,50
1/22/2016,50
1/23/2016,49
1/24/2016,47
1/25/2016,45
1/26/2016,49
1/27/2016,48
1/28/2016,53
1/29/2016,57
1/30/2016,54
1/31/2016,50
02-01-2016,45
02-02-2016,45
02-03-2016,47
02-04-2016,49
02-05-2016,48
02-06-2016,47
02-07-2016,40
02-08-2016,42
02-09-2016,45
02-10-2016,45
02-11-2016,46
02-12-2016,50
2/13/2016,52
2/14/2016,51
2/15/2016,48
2/16/2016,48
2/17/2016,51
2/18/2016,48
2/19/2016,47
2/20/2016,48
2/21/2016,50
2/22/2016,52
2/23/2016,54
2/24/2016,54
2/25/2016,46
2/26/2016,45
2/27/2016,48
2/28/2016,46
2/29/2016,49
03-01-2016,50
03-02-2016,50
03-03-2016,51
03-04-2016,50
03-05-2016,48
03-06-2016,49
03-07-2016,49
03-08-2016,55
03-09-2016,50
03-10-2016,47
03-11-2016,44
03-12-2016,45
3/13/2016,46
3/14/2016,47
3/15/2016,44
3/16/2016,45
3/17/2016,45
3/18/2016,44
3/19/2016,46
3/20/2016,46
3/21/2016,46
3/22/2016,44
3/23/2016,40
3/24/2016,40
3/25/2016,41
3/26/2016,42
3/27/2016,47
3/28/2016,51
3/29/2016,52
3/30/2016,51
3/31/2016,52
04-01-2016,50
04-02-2016,50
